"ColorName","NumOfColors","Type","ColorNum","ColorLetter","R","G","B"
"Accent","3","qual","1","A","127","201","127"
"Accent","3","qual","2","B","190","174","212"
"Accent","3","qual","3","C","253","192","134"
"Accent","4","qual","1","A","127","201","127"
"Accent","4","qual","2","B","190","174","212"
"Accent","4","qual","3","C","253","192","134"
"Accent","4","qual","4","D","255","255","153"
"Accent","5","qual","1","A","127","201","127"
"Accent","5","qual","2","B","190","174","212"
"Accent","5","qual","3","C","253","192","134"
"Accent","5","qual","4","D","255","255","153"
"Accent","5","qual","5","E","56","108","176"
"Accent","6","qual","1","A","127","201","127"
"Accent","6","qual","2","B","190","174","212"
"Accent","6","qual","3","C","253","192","134"
"Accent","6","qual","4","D","255","255","153"
"Accent","6","qual","5","E","56","108","176"
"Accent","6","qual","6","F","240","2","127"
"Accent","7","qual","1","A","127","201","127"
"Accent","7","qual","2","B","190","174","212"
"Accent","7","qual","3","C","253","192","134"
"Accent","7","qual","4","D","255","255","153"
"Accent","7","qual","5","E","56","108","176"
"Accent","7","qual","6","F","240","2","127"
"Accent","7","qual","7","G","191","91","23"
"Accent","8","qual","1","A","127","201","127"
"Accent","8","qual","2","B","190","174","212"
"Accent","8","qual","3","C","253","192","134"
"Accent","8","qual","4","D","255","255","153"
"Accent","8","qual","5","E","56","108","176"
"Accent","8","qual","6","F","240","2","127"
"Accent","8","qual","7","G","191","91","23"
"Accent","8","qual","8","H","102","102","102"
"Blues","3","seq","1","C","222","235","247"
"Blues","3","seq","2","F","158","202","225"
"Blues","3","seq","3","I","49","130","189"
"Blues","4","seq","1","B","239","243","255"
"Blues","4","seq","2","E","189","215","231"
"Blues","4","seq","3","G","107","174","214"
"Blues","4","seq","4","J","33","113","181"
"Blues","5","seq","1","B","239","243","255"
"Blues","5","seq","2","E","189","215","231"
"Blues","5","seq","3","G","107","174","214"
"Blues","5","seq","4","I","49","130","189"
"Blues","5","seq","5","K","8","81","156"
"Blues","6","seq","1","B","239","243","255"
"Blues","6","seq","2","D","198","219","239"
"Blues","6","seq","3","F","158","202","225"
"Blues","6","seq","4","G","107","174","214"
"Blues","6","seq","5","I","49","130","189"
"Blues","6","seq","6","K","8","81","156"
"Blues","7","seq","1","B","239","243","255"
"Blues","7","seq","2","D","198","219","239"
"Blues","7","seq","3","F","158","202","225"
"Blues","7","seq","4","G","107","174","214"
"Blues","7","seq","5","H","66","146","198"
"Blues","7","seq","6","J","33","113","181"
"Blues","7","seq","7","L","8","69","148"
"Blues","8","seq","1","A","247","251","255"
"Blues","8","seq","2","C","222","235","247"
"Blues","8","seq","3","D","198","219","239"
"Blues","8","seq","4","F","158","202","225"
"Blues","8","seq","5","G","107","174","214"
"Blues","8","seq","6","H","66","146","198"
"Blues","8","seq","7","J","33","113","181"
"Blues","8","seq","8","L","8","69","148"
"Blues","9","seq","1","A","247","251","255"
"Blues","9","seq","2","C","222","235","247"
"Blues","9","seq","3","D","198","219","239"
"Blues","9","seq","4","F","158","202","225"
"Blues","9","seq","5","G","107","174","214"
"Blues","9","seq","6","H","66","146","198"
"Blues","9","seq","7","J","33","113","181"
"Blues","9","seq","8","K","8","81","156"
"Blues","9","seq","9","M","8","48","107"
"Blues","10","seq","1","A","247","251","255"
"Blues","10","seq","2","C","222","235","247"
"Blues","10","seq","3","D","198","219","239"
"Blues","10","seq","4","F","158","202","225"
"Blues","10","seq","5","G","107","174","214"
"Blues","10","seq","6","H","66","146","198"
"Blues","10","seq","7","J","33","113","181"
"Blues","10","seq","8","K","8","81","156"
"Blues","10","seq","9","M","8","48","107"
"Blues","10","seq","10","O","5","30","68"
"BrBG","3","div","1","E","216","179","101"
"BrBG","3","div","2","H","245","245","245"
"BrBG","3","div","3","K","90","180","172"
"BrBG","4","div","1","C","166","97","26"
"BrBG","4","div","2","F","223","194","125"
"BrBG","4","div","3","J","128","205","193"
"BrBG","4","div","4","M","1","133","113"
"BrBG","5","div","1","C","166","97","26"
"BrBG","5","div","2","F","223","194","125"
"BrBG","5","div","3","H","245","245","245"
"BrBG","5","div","4","J","128","205","193"
"BrBG","5","div","5","M","1","133","113"
"BrBG","6","div","1","B","140","81","10"
"BrBG","6","div","2","E","216","179","101"
"BrBG","6","div","3","G","246","232","195"
"BrBG","6","div","4","I","199","234","229"
